ADDR_IDX,ADDR_TYPE,STD_ADDR_PRIM_TYPE
1,Accs,Access
2,Ally,Alley
3,Alwy,Alleyway
4,Ambl,Amble
5,App,Approach
6,Arc,Arcade
7,Art,Artery
8,Ave,Avenue
9,Basn,Basin
10,Bch,Beach
11,Blk,Block
12,Blf,Bluff
13,Bwlk,Boardwalk
14,Bvd,Boulevard
15,Brce,Brace
16,Br,Branch
17,Brk,Break
18,Bdge,Bridge
19,Bdwy,Broadway
20,Bypa,Bypass
21,Bywy,Byway
22,Cyn,Canyon
23,Caus,Causeway
24,Ctr,Centre/ Center
25,Cnwy,Centreway/ Centerway
26,Ch,Chase
27,Cir,Circle
28,Clt,Circlet
29,Cct,Circuit
30,Crcs,Circus
31,Cl,Close
32,Clde,Colonnade
33,Cmmn,Common
34,Con,Concourse
35,Cps,Copse
36,Cnr,Corner
37,Cso,Corso
38,Crse,Course
39,Ct,Court
40,Ctyd,Courtyard
41,Crk,Creek
42,Cr,Crescent
43,Crst,Crest
44,Crsg,Crossing
45,Crd,Crossroad
46,Cowy,Crossway
47,Cuwy,Cruiseway
48,Cds,Cul-De-Sac
49,Cttg,Cutting
50,Devn,Deviation
51,Dstr,Distributor
52,Dv,Divide
53,Dr,Drive
54,Drwy,Driveway
55,Ent,Entrance
56,Esp,Esplanade
57,Est,Estate
58,Exp,Expressway
59,Extn,Extension
60,Fawy,Fairway
61,Ftrk,Fire Track
62,Ftrl,Firetrail
63,Folw,Follow
64,Ftwy,Footway
65,Fshr,Foreshore
66,Form,Formation
67,Fwy,Freeway
68,Frnt,Front
69,Frtg,Frontage
70,Gdn,Garden
71,Gdns,Gardens
72,Gte,Gate
73,Gtes,Gates
74,Gld,Glade
75,Gra,Grange
76,Grn,Green
77,Grnd,Ground
78,Gr,Grove
79,Gly,Gully
80,Hts,Heights
81,Hrd,Highroad
82,Hwy,Highway
83,Intg,Interchange
84,Intn,Intersection
85,Jnc,Junction
86,Ldg,Landing
87,Lane,Lane
88,Lnwy,Laneway
89,Lt,Little
90,Lkt,Lookout
91,Loop,Loop
92,Lwr,Lower
93,Mall,Mall
94,Mdw,Meadow
95,Mndr,Meander
96,Mews,Mews
97,Mwy,Motorway
98,Mt,Mount
99,Mtn,Mountain
100,Otlk,Outlook
101,Opas,Overpass
102,Pde,Parade
103,Park,Park
104,Pkld,Parklands
105,Pwy,Parkway
106,Psge,Passage
107,Path,Path
108,Piaz,Piazza
109,Pl,Place
110,Pln,Plain
111,Plat,Plateau
112,Plza,Plaza
113,Pnt,Point
114,Prom,Promenade
115,Qy,Quay
116,Qys,Quays
117,Rmbl,Ramble
118,Ramp,Ramp
119,Rnge,Range
120,Rch,Reach
121,Res,Reserve
122,Rtt,Retreat
123,Rdge,Ridge
124,Rgwy,Ridgeway
125,Rowy,Right Of Way
126,Rise,Rise
127,Rvr,River
128,Rvwy,Riverway
129,Rvra,Riviera
130,Rd,Road
131,Rnde,Ronde
132,Rnd,Round
133,Rte,Route
134,Swy,Service Way
135,Sdng,Siding
136,Slpe,Slope
137,Snd,Sound
138,Sq,Square
139,Strs,Stairs
140,Sta,Station
141,SH,State Highway
142,Stps,Steps
143,Stra,Strand
144,St,Street
145,Sbwy,Subway
146,Smt,Summit
147,Tce,Terrace
148,Thor,Thoroughfare
149,Thwy,Throughway
150,Tlwy,Tollway
151,Twrs,Towers
152,Trk,Track
153,Trfy,Trafficway
154,Trl,Trail
155,Trlr,Trailer
156,Tri,Triangle
157,Tkwy,Trunkway
158,Tunl,Tunnel
159,Tpk,Turnpike
160,Upas,Underpass
161,Upr,Upper
162,Vly,Valley
163,Vdct,Viaduct
164,View,View
165,Vll,Villa
166,Vlg,Village
167,Vlls,Villas
168,Vsta,Vista
169,Walk,Walk
170,Wkwy,Walkway
171,Wtr,Water
172,Way,Way
173,Whrf,Wharf
174,aly,Alley
175,anx,Annex
176,apt,Apartment
177,arc,Arcade
178,ave,Avenue
179,bsmt,Basement
180,byu,Bayou
181,bch,Beach
182,bnd,Bend
183,blf,Bluff
184,btm,Bottom
185,blvd,Boulevard
186,br,Branch
187,brg,Bridge
188,brk,Brook
189,bldg,Building
190,bg,Burg
191,byp,Bypass
192,cp,Camp
193,cyn,Canyon
194,cpe,Cape
195,cswy,Causeway
196,ctr,Center
197,cir,Circle
198,clfs,Cliff
199,clfs,Cliffs
200,clb,Club
201,cor,Corner
202,cors,Corners
203,crse,Course
204,ct,Court
205,cts,Courts
206,cv,Cove
207,crk,Creek
208,cres,Crescent
209,xing,Crossing
210,dl,Dale
211,dm,Dam
212,dept,Department
213,dv,Divide
214,dr,Drive
215,est,Estate
216,expy,Expressway
217,ext,Extension
218,fls,Falls
219,fry,Ferry
220,fld,Field
221,flds,Fields
222,flt,Flat
223,fl,Floor
224,frd,Ford
225,frst,Forest
226,frg,Forge
227,frk,Fork
228,frks,Forks
229,ft,Fort
230,fwy,Freeway
231,frnt,Front
232,gdns,Garden
233,gdns,Gardens
234,gtwy,Gateway
235,gln,Glen
236,grn,Green
237,grv,Grove
238,hngr,Hanger
239,hbr,Harbor
240,hvn,Haven
241,hts,Heights
242,hwy,Highway
243,hl,Hill
244,hls,Hills
245,holw,Hollow
246,inlt,Inlet
247,is,Island
248,iss,Islands
249,jct,Junction
250,ky,Key
251,knls,Knoll
252,knls,Knolls
253,lk,Lake
254,lks,Lakes
255,lndg,Landing
256,ln,Lane
257,lgt,Light
258,lf,Loaf
259,lbby,Lobby
260,lcks,Lock
261,lcks,Locks
262,ldg,Lodge
263,lowr,Lower
264,mnr,Manor
265,mdws,Meadow
266,mdws,Meadows
267,ml,Mill
268,mls,Mills
269,msn,Mission
270,mt,Mount
271,mtn,Mountain
272,nck,Neck
273,ofc,Office
274,orch,Orchard
275,pkwy,Parkway
276,ph,Penthouse
277,pnes,Pine
278,pnes,Pines
279,pl,Place
280,pln,Plain
281,plns,Plains
282,plz,Plaza
283,pt,Point
284,prt,Port
285,pr,Prairie
286,radl,Radial
287,rnch,Ranch
288,rpds,Rapid
289,rpds,Rapids
290,rst,Rest
291,rdg,Ridge
292,riv,River
293,rd,Road
294,rm,Room
295,shl,Shoal
296,shls,Shoals
297,shr,Shore
298,shrs,Shores
299,spc,Space
300,spg,Spring
301,spgs,Springs
302,sq,Square
303,sta,Station
304,stra,Stravenue
305,strm,Stream
306,st,Street
307,ste,Suite
308,smt,Summit
309,ter,Terrace
310,trce,Trace
311,trak,Track
312,trfy,Trafficway
313,trl,Trail
314,trlr,Trailer
315,tunl,Tunnel
316,tpke,Turnpike
317,un,Union
318,uppr,Upper
319,vly,Valley
320,via,Viaduct
321,vw,View
322,vlg,Village
323,vl,Ville
324,vis,Vista
325,way,Way
326,wls,Well
327,wls,Wells
328,street,Street
329,av,Avenue
330,AV,Avenue
331,Blvd,Boulevard
332,Blv,Boulevard
333,ACCS,Access
334,ALLY,Alley
335,ALWY,Alleyway
336,AMBL,Amble
337,APP,Approach
338,ARC,Arcade
339,ARTL,Arterial
340,ARTY,Artery
341,AV,Avenue
342,BA,Banan
343,BEND,Bend
344,BWLK,Boardwalk
345,BVD,Boulevard
346,BR,Brace
347,BRAE,Brae
348,BRK,Break
349,BROW,Brow
350,BYPA,Bypass
351,BYWY,Byway
352,CSWY,Causeway
353,CTR,Centre
354,CH,Chase
355,CIR,Circle
356,CCT,Circuit
357,CRCS,Circus
358,CL,Close
359,CON,Concourse
360,CPS,Copse
361,CNR,Corner
362,CT,Court
363,CTYD,Courtyard
364,COVE,Cove
365,CR,Crescent
366,CRST,Crest
367,CRSS,Cross
368,CSAC,Cul-de-sac
369,CUTT,Cutting
370,DALE,Dale
371,DIP,Dip
372,DR,Drive
373,DVWY,Driveway
374,EDGE,Edge
375,ELB,Elbow
376,END,End
377,ENT,Entrance
378,ESP,Esplanade
379,EXP,Expressway
380,FAWY,Fairway
381,FOLW,Follow
382,FTWY,Footway
383,FORM,Formation
384,FWY,Freeway
385,FRTG,Frontage
386,GAP,Gap
387,GDNS,Gardens
388,GTE,Gate
389,GLDE,Glade
390,GLEN,Glen
391,GRA,Grange
392,GRN,Green
393,GR,Grove
394,HTS,Heights
395,HIRD,Highroad
396,HWY,Highway
397,HILL,Hill
